iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[T]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
38	-6.751101837951564E2	15	148	3.3697110367474616E0	2.3223640452423134E-2	15	148	-6.751101837951564E2	-1.0919821813853584E2	140	43	1.348015454202943E0	2.5235955436847064E0	1.852971753398445E-1	2.7519002236312284E-1	3.828485169148584E-1	1.5666428538217422E-1	1.4737444273960352E-2	-1.0919821813853584E2	1.0660245694303865E0	1.5797353475137494E0	1.0660245694303865E0	1.5797353475137494E0	140	1.4818939382962404E0	43	-8.1968235940439E2	-1.4457217560923357E2
39	-6.826296737337658E2	14	144	3.5850430649659493E0	5.013352962273033E-2	14	144	-6.826296737337658E2	-1.0962281184021623E2	147	57	1.4062847608612463E0	2.2355029261024795E0	1.7762598694795692E-1	2.6379732573273157E-1	3.669988252321751E-1	1.915778620871364E-1	3.0959079483522032E-2	-1.0962281184021623E2	9.047498792004358E-1	1.4280750968733031E0	9.047498792004358E-1	1.4280750968733031E0	147	1.5784197707054142E0	57	-8.298470508260499E2	-1.4721737709228412E2
40	-6.681468137850253E2	17	143	3.570197632081635E0	6.0198319011011865E-2	17	143	-6.681468137850253E2	-1.2784762738957295E2	150	62	1.3233831207529883E0	2.1012445510358004E0	1.733849944623769E-1	2.844873041892184E-1	3.582363728074498E-1	1.8389132854095477E-1	3.323813614445355E-2	-1.2784762738957295E2	1.3228978535532268E0	1.5685638157060302E0	1.3228978535532268E0	1.5685638157060302E0	150	1.1857028957246842E0	62	-8.336640235841008E2	-1.6551720979907554E2
41	-6.590692601006051E2	23	140	3.478026052680103E0	7.105887350880134E-2	23	140	-6.590692601006051E2	-1.565764742719221E2	151	64	1.2395811247775324E0	2.2188482330529076E0	1.6930526439498245E-1	3.013232401233119E-1	3.4980710990665126E-1	1.795643855750545E-1	6.505185893300625E-2	-1.565764742719221E2	2.1792396120012114E0	1.6198227071778248E0	2.1792396120012114E0	1.6198227071778248E0	151	7.432972025000638E-1	64	-8.484455313075189E2	-1.8937627120691383E2
42	-6.730429786178219E2	17	149	3.3110407600449907E0	6.295641075549202E-2	17	149	-6.730429786178219E2	-1.2540364565336594E2	150	63	1.4153841201513764E0	2.648515570252904E0	1.6930526439498245E-1	3.013232401233119E-1	3.4980710990665126E-1	1.795643855750545E-1	1.5539382353073368E-2	-1.2540364565336594E2	2.0321668648175537E0	1.7340918387540947E0	2.0321668648175537E0	1.7340918387540947E0	150	8.533215794313131E-1	63	-8.321924626866503E2	-1.5914948406882843E2
43	-6.640783366902654E2	26	137	4.986440441354523E0	5.529468476753943E-2	26	137	-6.640783366902654E2	-1.76236502117377E2	162	83	1.6591800431282515E0	2.8651063518834063E0	1.6930526439498245E-1	3.013232401233119E-1	3.4980710990665126E-1	1.795643855750545E-1	4.9637376091237986E-2	-1.76236502117377E2	5.591803476026424E0	1.8689387549245595E0	5.591803476026424E0	1.8689387549245595E0	162	3.3422826158630325E-1	83	-8.693888744704794E2	-2.0531053778021408E2
44	-6.599065037601501E2	23	134	4.830161040984978E0	6.1085677597255805E-2	23	134	-6.599065037601501E2	-1.5852926722774467E2	158	79	1.6555294817541737E0	2.706960578862463E0	1.553898570208656E-1	3.2580271368375796E-1	3.2465524880850755E-1	1.9415218048686894E-1	5.087651134692751E-2	-1.5852926722774467E2	6.229372466943041E0	1.8544002656903176E0	6.229372466943041E0	1.8544002656903176E0	158	2.9768652870428425E-1	79	-8.468386014261922E2	-1.8693209766604207E2
45	-6.464469487187421E2	21	127	3.797189014321988E0	6.646839496227973E-2	21	127	-6.464469487187421E2	-1.5095371371329054E2	160	83	1.501926623178539E0	4.273749566528032E0	1.8059652943183183E-1	3.1987907458044407E-1	3.1258846328698725E-1	1.8693593270073688E-1	5.7555004951940436E-2	-1.5095371371329054E2	1.5353660372265656E0	1.9044422594772543E0	1.5353660372265656E0	1.9044422594772543E0	160	1.2403832137106379E0	83	-8.338627386651415E2	-1.8741578994639937E2
46	-6.614384783780278E2	18	140	3.562386863125566E0	6.938641105358194E-2	18	140	-6.614384783780278E2	-1.370624268182857E2	155	73	1.5516047415353413E0	3.766667187374903E0	1.906343734294992E-1	3.071036580005566E-1	3.0493583769700633E-1	1.9732613087293777E-1	4.127366343533453E-2	-1.370624268182857E2	1.6921243262091887E0	1.8907330509501612E0	1.6921243262091887E0	1.8907330509501612E0	155	1.1173724186011256E0	73	-8.321371729531983E2	-1.7069869457517052E2
47	-6.602373593084777E2	20	136	4.099872971620905E0	3.544896245968157E-2	20	136	-6.602373593084777E2	-1.4600956925492846E2	155	73	1.6989970871840419E0	2.925614074536246E0	1.915539336007348E-1	2.987287038227437E-1	3.0946219437742517E-1	2.0025516819909622E-1	3.276607146124013E-2	-1.4600956925492846E2	2.93757260589347E0	1.6016736855561116E0	2.93757260589347E0	1.6016736855561116E0	155	5.452371397877189E-1	73	-8.352313569190368E2	-1.7499399761055903E2
48	-6.619604291846454E2	16	135	2.840310693320085E0	3.562901928471841E-2	16	135	-6.619604291846454E2	-1.1944439110748849E2	147	57	1.7614866623878098E0	2.7583650615475044E0	1.8736849770058686E-1	2.946520468807903E-1	3.243516832075685E-1	1.9362777221105443E-1	6.814308615914919E-2	-1.1944439110748849E2	2.30325978196114E0	1.8993882451333364E0	2.30325978196114E0	1.8993882451333364E0	147	8.246521994649157E-1	57	-8.169305324285147E2	-1.5497010324386923E2
49	-6.80104550008486E2	13	145	3.505691222771901E0	3.606141355084716E-2	13	145	-6.80104550008486E2	-1.0402236863129328E2	144	47	1.315283757359414E0	3.2142443104638208E0	2.0870333066184885E-1	2.093950586502334E-1	3.7198122851525134E-1	2.099203821726664E-1	2.3633607535808426E-2	-1.0402236863129328E2	1.5712781891609156E0	1.3381398392653752E0	1.5712781891609156E0	1.3381398392653752E0	144	8.516250327257203E-1	47	-8.138561407984351E2	-1.3375159078994923E2
50	-6.81320074152096E2	15	145	3.924365284998785E0	3.0962712498814687E-2	15	145	-6.81320074152096E2	-1.1468580938861336E2	144	50	1.352264886854794E0	2.1729509148052593E0	1.7305700252399867E-1	2.1882788613494114E-1	3.887382369124507E-1	2.193768744286095E-1	2.2733177467949308E-2	-1.1468580938861336E2	1.239277423485197E0	1.4888813410824708E0	1.239277423485197E0	1.4888813410824708E0	144	1.2014108486664086E0	50	-8.264302343138373E2	-1.451101601617413E2
